wrong_url(new links here → 404),correct_url(should link here → 200),kind,linked_from_pages
/job-relocation-moving-services,/blog/job-relocation-moving-services,blog-missing-/blog/-prefix,83
/retirement-moving-to-smaller-home,/blog/retirement-moving-to-smaller-home,blog-missing-/blog/-prefix,83
/small-storage-units-near-me-vs-consolidation-services,/blog/small-storage-units-near-me-vs-consolidation-services,blog-missing-/blog/-prefix,83
/moving-company-deposit-scam-warning-signs,/blog/moving-company-deposit-scam-warning-signs,blog-missing-/blog/-prefix,82
/manhattan-beach-moving-family-community,/blog/manhattan-beach-moving-family-community,blog-missing-/blog/-prefix,80
/hermosa-beach-movers-beach-town-vibes,/blog/hermosa-beach-movers-beach-town-vibes,blog-missing-/blog/-prefix,80
/dallas-to-los-angeles-moving,/blog/dallas-to-los-angeles-moving,blog-missing-/blog/-prefix,75
/la-to-portland-moving-tax-implications,/blog/la-to-portland-moving-tax-implications,blog-missing-/blog/-prefix,75
/storage-lockers-near-me-for-small-apartment-moves,/blog/storage-lockers-near-me-for-small-apartment-moves,blog-missing-/blog/-prefix,74
/hourly-vs-flat-rate-moving-cost-comparison,/blog/hourly-vs-flat-rate-moving-cost-comparison,blog-missing-/blog/-prefix,74
/austin-to-los-angeles-relocation,/blog/austin-to-los-angeles-relocation,blog-missing-/blog/-prefix,73
/how-to-move-a-gun-safe-weight-and-permit-requirements,/blog/how-to-move-a-gun-safe-weight-and-permit-requirements,blog-missing-/blog/-prefix,69
/hoarding-cleanup-and-moving-services,/blog/hoarding-cleanup-and-moving-services,blog-missing-/blog/-prefix,69
/two-men-and-a-truck-alternative-in-los-angeles,/blog/two-men-and-a-truck-alternative-in-los-angeles,blog-missing-/blog/-prefix,68
/moving-costs-calculator-accurate-estimates,/blog/moving-costs-calculator-accurate-estimates,blog-missing-/blog/-prefix,63
/plastic-bins-vs-cardboard-boxes-for-moving,/blog/plastic-bins-vs-cardboard-boxes-for-moving,blog-missing-/blog/-prefix,60
/professional-movers-vs-taskrabbit-for-moving,/blog/professional-movers-vs-taskrabbit-for-moving,blog-missing-/blog/-prefix,59
/tax-season-moving-april-considerations,/blog/tax-season-moving-april-considerations,blog-missing-/blog/-prefix,59
/how-to-pack-books-without-breaking-boxes,/blog/how-to-pack-books-without-breaking-boxes,blog-missing-/blog/-prefix,56
/professional-movers-vs-day-laborers-cost-analysis,/blog/professional-movers-vs-day-laborers-cost-analysis,blog-missing-/blog/-prefix,56
/eco-friendly-moving-boxes-and-green-packing,/blog/eco-friendly-moving-boxes-and-green-packing,blog-missing-/blog/-prefix,55
/how-to-pack-clothes-for-moving-best-methods,/blog/how-to-pack-clothes-for-moving-best-methods,blog-missing-/blog/-prefix,55
/marina-del-rey-moving-waterfront-living,/blog/marina-del-rey-moving-waterfront-living,blog-missing-/blog/-prefix,51
/senior-moving-services-downsizing-with-dignity,/blog/senior-moving-services-downsizing-with-dignity,blog-missing-/blog/-prefix,47
/commercial-movers-weekend-office-relocation,/blog/commercial-movers-weekend-office-relocation,blog-missing-/blog/-prefix,47
/moving-to-koreatown-los-angeles,/blog/moving-to-koreatown-los-angeles,blog-missing-/blog/-prefix,47
/moving-insurance-vs-homeowners-coverage,/blog/moving-insurance-vs-homeowners-coverage,blog-missing-/blog/-prefix,46
/moving-day-weather-contingency-plans-2,/blog/moving-day-weather-contingency-plans-2,blog-missing-/blog/-prefix,44
/moving-to-silver-lake-los-angeles,/blog/moving-to-silver-lake-los-angeles,blog-missing-/blog/-prefix,44
/moving-box-labels-system-that-actually-works,/blog/moving-box-labels-system-that-actually-works,blog-missing-/blog/-prefix,44
/moving-boxes-near-me-free-vs-paid-options-la,/blog/moving-boxes-near-me-free-vs-paid-options-la,blog-missing-/blog/-prefix,42
/mover-near-me-red-flags-in-moving-quotes,/blog/mover-near-me-red-flags-in-moving-quotes,blog-missing-/blog/-prefix,42
/moving-to-inglewood-los-angeles-guide,/blog/moving-to-inglewood-los-angeles-guide,blog-missing-/blog/-prefix,41
/new-year-moving-january-benefits,/blog/new-year-moving-january-benefits,blog-missing-/blog/-prefix,40
/wardrobe-boxes-are-they-worth-the-investment,/blog/wardrobe-boxes-are-they-worth-the-investment,blog-missing-/blog/-prefix,40
/cheap-storage-units-near-me-alternative,/blog/cheap-storage-units-near-me-alternative,blog-missing-/blog/-prefix,38
/emergency-moving-services-same-day,/blog/emergency-moving-services-same-day,blog-missing-/blog/-prefix,38
/moving-company-reviews-how-to-read,/blog/moving-company-reviews-how-to-read,blog-missing-/blog/-prefix,38
/denver-to-los-angeles-moving-guide,/blog/denver-to-los-angeles-moving-guide,blog-missing-/blog/-prefix,38
/la-to-phoenix-moving-desert-relocation-tips,/blog/la-to-phoenix-moving-desert-relocation-tips,blog-missing-/blog/-prefix,36
/los-angeles-to-san-francisco-moving-costs,/blog/los-angeles-to-san-francisco-moving-costs,blog-missing-/blog/-prefix,35
/moving-boxes-complete-guide-sizes-prices-where-to-buy,/blog/moving-boxes-complete-guide-sizes-prices-where-to-buy,blog-missing-/blog/-prefix,13
/video-reviews,/about-us/video-reviews,flat->nested-location,7
/seattle-to-los-angeles-moving-guide,/blog/seattle-to-los-angeles-moving-guide,blog-missing-/blog/-prefix,7
/what-to-do-with-leftover-moving-boxes,/blog/what-to-do-with-leftover-moving-boxes,blog-missing-/blog/-prefix,7
/office-movers-minimizing-business-downtime,/blog/office-movers-minimizing-business-downtime,blog-missing-/blog/-prefix,6
/moving-and-storage-los-angeles-combined-services,/blog/moving-and-storage-los-angeles-combined-services,blog-missing-/blog/-prefix,6
/la-canada-flintridge-movers-guide,/blog/la-canada-flintridge-movers-guide,blog-missing-/blog/-prefix,6
/divorce-moving-splitting-households,/blog/divorce-moving-splitting-households,blog-missing-/blog/-prefix,6
/moving-truck-rental-los-angeles-guide,/blog/moving-truck-rental-los-angeles-guide,blog-missing-/blog/-prefix,6
/small-moves-los-angeles-delivery,/blog/small-moves-los-angeles-delivery,blog-missing-/blog/-prefix,5
/storage-facility-near-me-climate-controlled-vs-standard-units,/blog/storage-facility-near-me-climate-controlled-vs-standard-units,blog-missing-/blog/-prefix,5
/post-move-paperwork-you-need-to-handle,/blog/post-move-paperwork-you-need-to-handle,blog-missing-/blog/-prefix,5
/storage-lockers-near-me-small-apartment-moves,,unknown (target does not exist anywhere),5
/how-to-have-an-eco-friendly-move-7-sustainable-tips,/blog/how-to-have-an-eco-friendly-move-7-sustainable-tips,blog-missing-/blog/-prefix,4
/what-to-do-with-moving-boxes-after-moving,/blog/what-to-do-with-moving-boxes-after-moving,blog-missing-/blog/-prefix,4
/moving-quotes-how-to-compare-apples-to-apples,/blog/moving-quotes-how-to-compare-apples-to-apples,blog-missing-/blog/-prefix,4
/long-distance-moving-companies-usdot-requirements,/blog/long-distance-moving-companies-usdot-requirements,blog-missing-/blog/-prefix,4
/how-to-unpack-after-moving,/blog/how-to-unpack-after-moving,blog-missing-/blog/-prefix,4
/fun-halloween-activities-in-la-to-explore,/blog/fun-halloween-activities-in-la-to-explore,blog-missing-/blog/-prefix,4
/first-things-to-do-after-moving-into-a-new-house-your-checklist,/blog/first-things-to-do-after-moving-into-a-new-house-your-checklist,blog-missing-/blog/-prefix,4
/moving-costs-los-angeles-pricing-guide,,unknown (target does not exist anywhere),3
/plastic-moving-crates-vs-cardboard-boxes-what-to-choose,/blog/plastic-moving-crates-vs-cardboard-boxes-what-to-choose,blog-missing-/blog/-prefix,3
/how-to-recycle-packing-materials-after-your-la-move,/blog/how-to-recycle-packing-materials-after-your-la-move,blog-missing-/blog/-prefix,3
/glendale-movers-armenian-community-hub,/blog/glendale-movers-armenian-community-hub,blog-missing-/blog/-prefix,3
/apartment-movers-los-angeles,/blog/apartment-movers-los-angeles,blog-missing-/blog/-prefix,3
/moving-permits-in-los-angeles,/blog/moving-permits-in-los-angeles,blog-missing-/blog/-prefix,3
/long-distance-movers,/services/long-distance-movers,flat->nested-location,3
/contact-us,/about-us/contact-us,flat->nested-location,2
/storage-units-near-me-vs-professional-moving-storage-solutions,,unknown (target does not exist anywhere),2
/how-to-pack-dishes-and-glassware-safely,/blog/how-to-pack-dishes-and-glassware-safely,blog-missing-/blog/-prefix,2
/moving-day-weather-contingency-plans,/blog/moving-day-weather-contingency-plans,blog-missing-/blog/-prefix,2
/where-to-get-free-moving-boxes-in-los-angeles,/blog/where-to-get-free-moving-boxes-in-los-angeles,blog-missing-/blog/-prefix,2
/ways-to-reuse-packing-materials,/blog/ways-to-reuse-packing-materials,blog-missing-/blog/-prefix,2
/same-day-movers-los-angeles-emergency,/blog/same-day-movers-los-angeles-emergency,blog-missing-/blog/-prefix,2
/moving-to-first-floor-apartment-guide,/blog/moving-to-first-floor-apartment-guide,blog-missing-/blog/-prefix,2
/playa-vista-movers-silicon-beach-guide,/blog/playa-vista-movers-silicon-beach-guide,blog-missing-/blog/-prefix,2
/apartment-movers,/services/apartment-movers,flat->nested-location,2
/storage,/services/storage,flat->nested-location,2
/packing-services,/services/packing-services,flat->nested-location,2
/white-glove-movers,/services/white-glove-movers,flat->nested-location,2
/commercial-movers,/services/commercial-movers,flat->nested-location,2
/images/general/6810a7c8f974ce65eac3e819_Vacancy_%20Foreman%20Driver.pdf,,unknown (target does not exist anywhere),1
/images/general/6568fe763333f168470ada48_INTERNET-AD-Nov.docx,,unknown (target does not exist anywhere),1
/commercial-moving-companies-it-equipment-focus,/blog/commercial-moving-companies-it-equipment-focus,blog-missing-/blog/-prefix,1
/commercial-movers-los-angeles-office-relocation,/blog/commercial-movers-los-angeles-office-relocation,blog-missing-/blog/-prefix,1
/how-to-research-neighborhoods-before-moving,,unknown (target does not exist anywhere),1
/storage-places-near-me-short-term-vs-long-term-options,/blog/storage-places-near-me-short-term-vs-long-term-options,blog-missing-/blog/-prefix,1
/cross-country-moving-companies-insurance-essentials,/blog/cross-country-moving-companies-insurance-essentials,blog-missing-/blog/-prefix,1
/packing-paper-vs-bubble-wrap-professional-movers-advice,/blog/packing-paper-vs-bubble-wrap-professional-movers-advice,blog-missing-/blog/-prefix,1
/custom-crating-for-valuable-items,,unknown (target does not exist anywhere),1
/wardrobe-boxes-worth-the-investment,,unknown (target does not exist anywhere),1
/california-to-florida-moving-guide,/blog/california-to-florida-moving-guide,blog-missing-/blog/-prefix,1
/south-bay-moving-complete-guide,,unknown (target does not exist anywhere),1
/moving-blankets-rent-vs-buy-decision-guide,/blog/moving-blankets-rent-vs-buy-decision-guide,blog-missing-/blog/-prefix,1
/mirror-and-picture-boxes-professional-packing-tips,,unknown (target does not exist anywhere),1
/lancaster-movers-complete-guide,,unknown (target does not exist anywhere),1
/long-distance-movers-los-angeles-interstate,/blog/long-distance-movers-los-angeles-interstate,blog-missing-/blog/-prefix,1
/moving-to-wilshire-district,,unknown (target does not exist anywhere),1
/moving-to-mar-vista-los-angeles,,unknown (target does not exist anywhere),1
/student-moving-services-los-angeles-guide,/blog/student-moving-services-los-angeles-guide,blog-missing-/blog/-prefix,1
/moving-services-complete-list-whats-actually-needed,/blog/moving-services-complete-list-whats-actually-needed,blog-missing-/blog/-prefix,1
/how-to-get-rid-of-a-couch-before-moving,/blog/how-to-get-rid-of-a-couch-before-moving,blog-missing-/blog/-prefix,1
/furniture-movers-los-angeles,/blog/furniture-movers-los-angeles,blog-missing-/blog/-prefix,1
/moving-to-eagle-rock-los-angeles,,unknown (target does not exist anywhere),1
/state-to-state-movers-california-to-texas-route,,unknown (target does not exist anywhere),1
/how-to-move-a-pool-table-yourself-vs-hiring-pros,/blog/how-to-move-a-pool-table-yourself-vs-hiring-pros,blog-missing-/blog/-prefix,1
/piano-moving-cost-why-its-expensive,/blog/piano-moving-cost-why-its-expensive,blog-missing-/blog/-prefix,1
/santa-monica-movers,/los-angeles-movers/santa-monica-movers,flat->nested-location,1
/calabasas-movers,/los-angeles-movers/calabasas-movers,flat->nested-location,1